Time,Payment,Interest,Principal,Remaining principal
0,0.00,0.00,0.00,10000000.00
1,77472.25,66666.67,10805.58,9989194.42
2,77472.25,66594.63,10877.62,9978316.80
3,77472.25,66522.11,10950.14,9967366.66
4,77472.25,66449.11,11023.14,9956343.53
5,77472.25,66375.62,11096.62,9945246.90
6,77472.25,66301.65,11170.60,9934076.30
7,77472.25,66227.18,11245.07,9922831.23
8,77472.25,66152.21,11320.04,9911511.19
9,77472.25,66076.74,11395.51,9900115.68
10,77472.25,66000.77,11471.48,9888644.21
11,77472.25,65924.29,11547.95,9877096.25
12,77472.25,65847.31,11624.94,9865471.32
13,77472.25,65769.81,11702.44,9853768.88
14,77472.25,65691.79,11780.46,9841988.42
15,77472.25,65613.26,11858.99,9830129.43
16,77472.25,65534.20,11938.05,9818191.38
17,77472.25,65454.61,12017.64,9806173.74
18,77472.25,65374.49,12097.76,9794075.98
19,77472.25,65293.84,12178.41,9781897.58
20,77472.25,65212.65,12259.60,9769637.98
21,77472.25,65130.92,12341.33,9757296.65
22,77472.25,65048.64,12423.60,9744873.05
23,77472.25,64965.82,12506.43,9732366.62
24,77472.25,64882.44,12589.80,9719776.82
25,77472.25,64798.51,12673.74,9707103.08
26,77472.25,64714.02,12758.23,9694344.85
27,77472.25,64628.97,12843.28,9681501.57
28,77472.25,64543.34,12928.90,9668572.67
29,77472.25,64457.15,13015.10,9655557.57
30,77472.25,64370.38,13101.86,9642455.71
31,77472.25,64283.04,13189.21,9629266.50
32,77472.25,64195.11,13277.14,9615989.36
33,77472.25,64106.60,13365.65,9602623.71
34,77472.25,64017.49,13454.76,9589168.95
35,77472.25,63927.79,13544.45,9575624.50
36,77472.25,63837.50,13634.75,9561989.75
37,77472.25,63746.60,13725.65,9548264.10
38,77472.25,63655.09,13817.15,9534446.94
39,77472.25,63562.98,13909.27,9520537.67
40,77472.25,63470.25,14002.00,9506535.68
41,77472.25,63376.90,14095.34,9492440.33
42,77472.25,63282.94,14189.31,9478251.02
43,77472.25,63188.34,14283.91,9463967.11
44,77472.25,63093.11,14379.13,9449587.98
45,77472.25,62997.25,14474.99,9435112.99
46,77472.25,62900.75,14571.49,9420541.49
47,77472.25,62803.61,14668.64,9405872.85
48,77472.25,62705.82,14766.43,9391106.43
